User_ID,Transaction_Time,Amount,Transaction_Type,Location,Status,Is_Fraud
User_4109,2025-05-16 07:55:40.001700,6430.31,WITHDRAWAL,ONLINE,PENDING,NO
User_3260,2025-03-01 07:55:40.002098,6661.95,DEPOSIT,ONLINE,COMPLETED,NO
User_3272,2025-04-22 07:55:40.002164,185.91,TRANSFER,BRANCH,FAILED,NO
User_3458,2025-06-03 07:55:40.002176,1653.44,TRANSFER,ATM,FAILED,NO
User_923,2025-06-21 07:55:40.002185,5536.77,WITHDRAWAL,ATM,COMPLETED,NO
User_4140,2026-01-05 07:55:40.002195,7047.67,DEPOSIT,ATM,FAILED,NO
User_3856,2025-11-29 07:55:40.002204,5563.51,TRANSFER,BRANCH,COMPLETED,NO
User_4,2025-10-27 07:55:40.002213,5542.17,TRANSFER,ONLINE,FAILED,NO
User_3690,2025-05-08 07:55:40.002222,9836.91,TRANSFER,ATM,COMPLETED,NO
User_4504,2025-04-19 07:55:40.002232,3425.1,DEPOSIT,ONLINE,PENDING,NO
User_1162,2025-10-25 07:55:40.002241,838.35,DEPOSIT,BRANCH,FAILED,NO
User_2363,2026-01-07 07:55:40.002250,5473.14,TRANSFER,BRANCH,PENDING,NO
User_3755,2025-08-16 07:55:40.002259,1617.81,TRANSFER,ONLINE,COMPLETED,NO
User_477,2026-02-19 07:55:40.002268,177.44,DEPOSIT,ATM,PENDING,NO
User_2551,2025-10-24 07:55:40.002277,2850.84,DEPOSIT,ONLINE,COMPLETED,NO
User_3998,2026-02-13 07:55:40.002285,5072.23,TRANSFER,ATM,PENDING,NO
User_1481,2026-01-29 07:55:40.002294,6115.13,DEPOSIT,ATM,COMPLETED,NO
User_1124,2025-10-20 07:55:40.002303,8077.8,TRANSFER,ONLINE,PENDING,NO
User_980,2025-12-22 07:55:40.002312,8297.05,DEPOSIT,ATM,PENDING,NO
User_3682,2025-09-14 07:55:40.002320,6040.21,DEPOSIT,ONLINE,COMPLETED,NO
